temperature,fraction,run,atoms,composition,system
800.0,0.39297813956340444,/nvt/nvt_Al6372-Sm540/run_14,6912,Al6372Sm540,AlSm
300.0,0.5752908848417955,/nvt/nvt_Al6372-Sm540/run_14,6912,Al6372Sm540,AlSm
1300.0,0.18328523577385333,/nvt/nvt_Al6372-Sm540/run_63,6912,Al6372Sm540,AlSm
800.0,0.3879393932425803,/nvt/nvt_Al6372-Sm540/run_63,6912,Al6372Sm540,AlSm
300.0,0.5722651459406426,/nvt/nvt_Al6372-Sm540/run_63,6912,Al6372Sm540,AlSm
1300.0,0.18046932487122885,/nvt/nvt_Al6372-Sm540/run_33,6912,Al6372Sm540,AlSm
800.0,0.3921512831125828,/nvt/nvt_Al6372-Sm540/run_33,6912,Al6372Sm540,AlSm
300.0,0.5535415900171695,/nvt/nvt_Al6372-Sm540/run_33,6912,Al6372Sm540,AlSm
1300.0,0.18226771369879813,/nvt/nvt_Al6372-Sm540/run_29,6912,Al6372Sm540,AlSm
800.0,0.3867388704930096,/nvt/nvt_Al6372-Sm540/run_29,6912,Al6372Sm540,AlSm
300.0,0.5633249402133922,/nvt/nvt_Al6372-Sm540/run_29,6912,Al6372Sm540,AlSm
1300.0,0.18260305524895756,/nvt/nvt_Al6372-Sm540/run_39,6912,Al6372Sm540,AlSm
800.0,0.3861630411454501,/nvt/nvt_Al6372-Sm540/run_39,6912,Al6372Sm540,AlSm
300.0,0.5753914873068433,/nvt/nvt_Al6372-Sm540/run_39,6912,Al6372Sm540,AlSm
1300.0,0.18286941225165562,/nvt/nvt_Al6372-Sm540/run_61,6912,Al6372Sm540,AlSm
800.0,0.38766345505273486,/nvt/nvt_Al6372-Sm540/run_61,6912,Al6372Sm540,AlSm
300.0,0.5697347544150111,/nvt/nvt_Al6372-Sm540/run_61,6912,Al6372Sm540,AlSm
1300.0,0.182582934755948,/nvt/nvt_Al6372-Sm540/run_97,6912,Al6372Sm540,AlSm
800.0,0.3883207244910473,/nvt/nvt_Al6372-Sm540/run_97,6912,Al6372Sm540,AlSm
300.0,0.5681701465538386,/nvt/nvt_Al6372-Sm540/run_97,6912,Al6372Sm540,AlSm
1300.0,0.18100778758891342,/nvt/nvt_Al6372-Sm540/run_16,6912,Al6372Sm540,AlSm
800.0,0.3907562622639196,/nvt/nvt_Al6372-Sm540/run_16,6912,Al6372Sm540,AlSm
300.0,0.5735049515575178,/nvt/nvt_Al6372-Sm540/run_16,6912,Al6372Sm540,AlSm
1300.0,0.18190841918077016,/nvt/nvt_Al6372-Sm540/run_92,6912,Al6372Sm540,AlSm
800.0,0.3889387110620554,/nvt/nvt_Al6372-Sm540/run_92,6912,Al6372Sm540,AlSm
300.0,0.5679162450944322,/nvt/nvt_Al6372-Sm540/run_92,6912,Al6372Sm540,AlSm
1300.0,0.18187009443218052,/nvt/nvt_Al6372-Sm540/run_23,6912,Al6372Sm540,AlSm
